HYBAS_ID,NEXT_DOWN,NEXT_SINK,MAIN_BAS,DIST_SINK,DIST_MAIN,SUB_AREA,UP_AREA,PFAF_ID,ENDO,COAST,ORDER,SORT,Area_KM2.x,Fish.native.richness,Fish.SAR.richness,Foreign.richness,Translocated.richness,Fish.nonnative.richness,Mussel.native.richness,Mussel.SAR.richness,Road_D,Population_D,Dwelling_D,Pcnt_urban,Pcnt_imp_surf,Mean_urban_access,Pasture_D,Agriculture_D,Livestock_D,Mining_D,Manuf_D,Util_D,Mean_human_Intrution,Mean_energy_mining,Mining_D_2008,Manuf_D_2008,Util_D_2008,Pol_source_D
7070431350,7070446550,7070034520,7070034520,1651.5,1651.5,7539.1,526265.5,7255900,0,0,1,3325,4083.59565,76,7,3,6,9,13,2,213.682,18.84592263,8.976672227,1.714,0.454969325,65.07847478,0.025962412,0.07365567,3400.264863,1.614089574,40.21201609,1.991560254,0.146869184,0.002449,0.707402789,11.34542203,0.150366745,2.938586733
7070446550,7070451720,7070034520,7070034520,1585.4,1585.4,6622.8,564156,7255790,0,0,1,3324,1104.75812,74,3,3,6,9,15,1,220.876,14.92841835,8.160884875,1.177,0.341530055,76.52106227,0.016781956,0.080488216,3142.434443,1.383030552,22.02950951,1.542980129,0.106806456,0.002184,0.815067339,19.54632379,0.497947818,1.81035103
7070446640,7070451720,7070034520,7070034520,1585.4,1585.4,3321.9,3321.9,7255780,0,0,2,3323,2667.74862,79,6,4,6,10,11,2,257.863,20.700226,8.784198635,2.024,0.358490566,45.48177377,0.015012657,0.077087462,7071.776812,3.513572592,66.61842659,1.552489902,0.191149505,0.001581,2.808624716,36.49366306,1.282570087,3.373631208
7070451850,7070459440,7070034520,7070034520,1565.3,1565.3,1468.1,1468.1,7255778,0,0,2,3321,722.43055,81,6,4,6,10,15,1,266.774,15.67931332,7.759326496,1.799,0.461645746,43.08403361,0.007599342,0.08135033,7294.195705,3.220960088,48.9216846,1.002103233,0.192173795,0.003308,2.649126728,22.61893642,0.910482021,2.768432204
7070453370,7070451750,7070034520,7070034520,832,832,7871.8,7872.1,7255540,0,0,2,3267,5857.27953,82,11,5,8,13,18,6,718.05,894.4252163,342.9271094,23.919,15.30618893,6.845770289,0.018300303,0.076719911,1516.16199,26.12484576,1365.235576,20.54078402,0.633200105,0.00569,14.48624956,325.74923,13.42118522,113.8753916
7070453430,7070451750,7070034520,7070034520,832.1,832.1,8458,682646.3,7255550,0,0,1,3268,632.93361,81,7,4,8,12,16,9,684.536,232.7732146,105.6117222,13.114,6.001589825,8.13410596,0.017489975,0.074225749,1309.868329,5.610984038,316.9823393,9.127336109,0.50046582,0.00534,17.36748881,510.2688854,22.32761228,34.75877983
7070459440,7070465890,7070034520,7070034520,1527.1,1527.1,2842.5,572776.3,7255777,0,0,1,3318,601.3281,81,7,3,6,9,9,1,240.499,16.5318453,8.048545804,1.164,0.345,33.85546218,0.006286087,0.079474097,4028.686013,4.726436772,101.4076238,2.271388343,0.206890755,0.00163,0,4.628885059,0.342857586,0
7070459590,7070465890,7070034520,7070034520,1527,1527,1650.8,1650.8,7255776,0,0,2,3317,1295.17502,80,10,4,6,10,21,8,296.543,21.60851753,10.9977596,1.39,0.464174455,25.83385093,0.008686085,0.080189936,5194.249908,5.861991788,106.8868693,2.874062419,0.240135683,0.000868,1.106027022,24.56844161,2.438264187,4.632578538
7070465890,7070479250,7070034520,7070034520,1496,1496,1593.9,576021.4,7255775,0,0,1,3315,512.01549,80,10,4,6,10,4,1,514.87,134.9690768,62.67178563,5.469,2.246575342,13.17964072,0.007031044,0.082263215,2314.677594,8.230009216,51.70000732,3.620004933,0.31521995,0.002936,31.75294574,211.532648,17.72137257,9.765329561
7070474840,7070453430,7070034520,7070034520,974.3,974.3,6896.8,6896.8,7255560,0,0,2,3279,6700.78775,84,10,5,6,11,22,13,410.536,161.1147271,65.03464895,6.044,2.808408408,15.48643788,0.021261678,0.078545986,4773.898592,6.038677377,333.421824,7.764846986,0.477950004,0.003607,7.169287239,144.9509081,5.286585016,34.47355872
7070475060,7070453430,7070034520,7070034520,974.5,974.5,3441,667284.8,7255571,0,0,1,3280,620.84254,81,6,4,6,10,7,1,385.089,37.08797631,16.04702168,2.255,0.83713355,24.5049505,0.019280237,0.081179944,3219.419832,2.049993532,54.08999448,2.400000133,0.383013114,0.003684,1.559063377,53.00098875,2.367683372,9.664286213
7070479250,7070480440,7070034520,7070034520,1422.9,1422.9,2256.8,580101.8,7255773,0,0,1,3309,380.98798,82,14,6,7,13,,,392.774,59.9071481,27.47150441,8.662,4.54155496,13.32038835,0.008976661,0.082915997,438.886866,8.01149105,52.14526183,3.602542071,0.384913678,0.007571,20.52888998,114.8341475,8.538547425,81.36739642
7070479440,7070475060,7070034520,7070034520,1026.7,1026.7,1991.2,1991.2,7255572,0,0,2,3283,1378.54658,81,10,4,6,10,15,3,289.193,40.08962847,17.33902302,2.902,0.883032491,30.98312546,0.009923492,0.069660302,1804.688469,2.577860746,84.92773833,2.92941435,0.307820545,0.00179,2.207792091,24.57192225,0.499671143,3.627008382
7070479730,7070475060,7070034520,7070034520,1026.9,1026.9,12471.2,661849.5,7255573,0,0,1,3284,2318.82918,81,11,4,6,10,18,3,342.815,80.33050314,34.4692291,2.717,0.956975228,26.41495409,0.009897237,0.075374251,2904.039841,2.225029111,88.1837673,2.614112022,0.264610452,0.003036,4.434565803,140.0149717,6.021594666,11.21255512
7070480440,7070481800,7070034520,7070034520,1417.1,1417.1,265,582337.9,7255771,0,0,1,3307,234.12654,81,13,7,7,14,19,15,33.32,13.5447548,6.476429889,0,0.047413793,39.13043478,0.00115322,0.088413553,276.0039657,7.66291755,52.85560809,3.574705119,0.143013725,0,126.1830893,909.5905176,73.60976621,0
7070480630,7070481800,7070034520,7070034520,1417.1,1417.1,3411.1,3411.1,7255760,0,0,2,3308,3411.74209,81,15,7,7,14,21,14,274.062,24.66429881,10.50849874,1.319,0.532919988,28.00095178,0.0072016,0.083016242,2409.506315,6.617048205,80.0280229,3.520436237,0.286492846,0.003,2.022013646,14.99621841,0.878418419,6.741423998
7070481890,7070489890,7070034520,7070034520,1406.1,1406.1,6655.9,6656.3,7255740,0,0,2,3305,6660.70424,83,18,8,7,15,21,15,409.255,97.42094511,42.533487,4.834,2.315049864,23.42888889,0.00913417,0.082585865,3361.360882,4.122241097,142.5933509,3.351337738,0.333988293,0.00482,7.725841302,102.7613844,4.080739602,20.26812708
7070487820,7070479730,7070034520,7070034520,1150.9,1150.9,4292.3,647253,7255575,0,0,1,3289,280.27723,79,10,5,6,11,8,5,295.661,27.08812047,12.20865851,1.07,0.267148014,43.87956204,0.006422218,0.076745505,1258.848189,2.318381644,69.57651742,2.904698873,0.18948801,0.003125,1.705065508,29.03850554,3.414860841,7.135791944
7070489890,7070494360,7070034520,7070034520,1354.9,1354.9,2686.8,595299.8,7255730,0,0,1,3302,467.25897,81,12,8,7,15,17,12,602.642,635.938199,276.6104167,25.682,13.18777293,4.664160401,0.006548831,0.085327409,264.0103474,4.280006229,393.8600105,8.559989138,0.592113156,0.002987,11.56709429,117.5435173,3.97457357,96.30633736
7070492300,7070487820,7070034520,7070034520,1195.6,1195.6,4772.3,640291.2,7255577,0,0,1,3291,263.19916,80,9,6,7,13,13,10,442.76,45.48146979,20.18625285,2.66,0.636015326,46.72941176,0.004103359,0.084118861,796.2021888,3.289615833,83.71408511,3.570754601,0.243537052,0.000115,0.489805805,8.087290019,0.489805805,3.799404223
7070496900,7070492300,7070034520,7070034520,1244.1,1244.1,2640.1,633883,7255579,0,0,1,3293,200.18234,75,9,6,7,13,15,10,381.228,95.60248397,37.60537723,9.991,7.720588235,38.55729167,0.007193454,0.084073493,319.3796105,4.279935214,393.8425507,8.559719212,0.39649162,0,6.583766254,109.3914091,6.121415896,19.98178261
